"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "CSS", "XML", "Docker", "YAML", "HTML", "comment", "blank", "total"
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 11, 8, 28
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 1, 10
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\constants.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 75
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app.module.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 67
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\authentication\authentication.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\authentication\authentication.module.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\authentication\authentication.repository.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\authentication\authentication.service.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyer.mapper.spec.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyer.mapper.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyer.mock.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyers.controller.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyers.model.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyers.module.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyers.repository.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 103
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\buyers.service.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 117
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\buyers\create-update-buyer.dto.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\cart\cart.controller.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\cart\cart.module.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\cart\cart.service.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 196
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\distance\distance.controller.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\distance\distance.module.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\distance\distance.service.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\guards\firebase-token-guard.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 28
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\mailer\mail.controller.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\mailer\mail.module.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\mailer\mail.service.ts", "TypeScript", 0, 0, 396, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 423
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\middleware\firebase-auth.middleware.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\orders\create-update-order.dto.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\orders\order-status.enum.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\orders\order.mapper.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\fastify-server\src\app\orders\order.model.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
